Year,Alopias_pelagicus,Alopias_superciliosus,Alopias_vulpinus,Carcharodon_carcharias,Carcharhinus_falciformis,Carcharhinus_longimanus,Carcharhinus_obscurus,Isurus_oxyrinchus,Isurus_paucus,Lamna_nasus,Mobula_alfredi,Mobula_birostris,Mobula_kuhlii,Prionace_glauca,Pteroplatytrygon_violacea,Sphyrna_lewini,Sphyrna_mokarran,Sphyrna_zygaena
1970,1 (1;1),1 (1;1),NA,1 (1;1),NA,NA,1 (1;1),1 (1;1),NA,1 (1;1),NA,NA,NA,1 (1;1),NA,1 (1;1),NA,1 (1;1)
1971,1 (0.59;1.62),0.98 (0.57;1.6),NA,0.99 (0.79;1.23),NA,NA,1 (0.91;1.09),1 (0.93;1.07),NA,0.99 (0.93;1.04),NA,NA,NA,1 (0.96;1.04),NA,0.96 (0.68;1.35),NA,1.44 (0.89;2.01)
1972,1 (0.51;1.82),0.95 (0.47;1.76),NA,1.02 (0.77;1.35),NA,NA,1 (0.88;1.12),1 (0.92;1.08),NA,0.97 (0.9;1.04),NA,NA,NA,0.99 (0.93;1.06),NA,0.87 (0.57;1.28),NA,2.46 (1.45;3.7)
1973,0.99 (0.44;2.01),0.88 (0.36;1.78),NA,1 (0.73;1.36),NA,NA,0.99 (0.87;1.13),0.99 (0.91;1.08),NA,0.96 (0.88;1.04),NA,NA,NA,0.99 (0.92;1.06),NA,0.85 (0.54;1.35),NA,2.82 (1.57;4.64)
1974,0.97 (0.39;2.11),0.82 (0.29;1.75),NA,1 (0.72;1.4),NA,NA,0.99 (0.87;1.13),0.99 (0.91;1.08),NA,0.95 (0.87;1.03),NA,NA,NA,0.98 (0.91;1.06),NA,0.77 (0.47;1.22),NA,2.37 (1.31;3.96)
1975,0.95 (0.37;2.13),0.75 (0.24;1.64),NA,0.88 (0.63;1.23),NA,NA,0.99 (0.86;1.13),0.99 (0.9;1.08),NA,0.94 (0.86;1.03),NA,NA,NA,0.98 (0.91;1.06),NA,0.7 (0.42;1.11),NA,2.41 (1.33;3.97)
1976,0.93 (0.35;2.12),0.69 (0.2;1.55),NA,0.77 (0.55;1.06),NA,NA,0.96 (0.83;1.11),0.99 (0.9;1.08),NA,0.93 (0.85;1.03),NA,NA,NA,0.98 (0.91;1.07),NA,0.63 (0.38;1),NA,1.91 (1.08;3.1)
1977,0.9 (0.34;2.05),0.64 (0.17;1.46),NA,0.66 (0.47;0.91),NA,NA,0.94 (0.8;1.09),0.98 (0.89;1.08),NA,0.93 (0.84;1.02),NA,NA,NA,0.99 (0.91;1.07),NA,0.61 (0.37;0.99),NA,1.29 (0.73;2.13)
1978,0.91 (0.34;2.1),0.59 (0.15;1.39),NA,0.51 (0.36;0.7),NA,NA,0.92 (0.77;1.07),0.98 (0.89;1.08),NA,0.93 (0.84;1.02),NA,NA,NA,0.99 (0.91;1.08),NA,0.55 (0.33;0.88),1 (1;1),1.28 (0.7;2.15)
1979,0.93 (0.34;2.21),0.54 (0.14;1.33),NA,0.46 (0.32;0.63),NA,NA,0.89 (0.75;1.05),0.98 (0.89;1.08),NA,0.92 (0.83;1.02),NA,NA,NA,0.99 (0.91;1.07),NA,0.49 (0.29;0.78),0.91 (0.55;1.4),1.41 (0.77;2.36)
1980,0.89 (0.3;2.24),0.53 (0.14;1.34),NA,0.41 (0.28;0.57),NA,NA,0.88 (0.73;1.03),0.98 (0.88;1.08),NA,0.92 (0.83;1.01),NA,NA,NA,0.98 (0.9;1.06),NA,0.47 (0.28;0.76),0.92 (0.52;1.51),1.2 (0.65;2.01)
1981,0.85 (0.28;2.15),0.52 (0.14;1.34),1 (1;1),0.38 (0.26;0.54),NA,NA,0.85 (0.71;1.01),0.97 (0.88;1.07),NA,0.91 (0.83;1.01),NA,NA,NA,0.96 (0.88;1.05),NA,0.43 (0.25;0.69),0.98 (0.54;1.63),1.14 (0.61;1.93)
1982,0.78 (0.24;2.01),0.51 (0.13;1.38),0.8 (0.5;1.28),0.38 (0.25;0.54),NA,NA,0.83 (0.69;0.99),0.97 (0.88;1.07),NA,0.91 (0.82;1),NA,NA,NA,0.95 (0.87;1.03),NA,0.42 (0.23;0.68),1.09 (0.61;1.83),1.01 (0.52;1.75)
1983,0.72 (0.22;1.89),0.5 (0.13;1.39),0.63 (0.31;1.15),0.37 (0.24;0.53),NA,NA,0.82 (0.68;0.97),0.97 (0.87;1.07),NA,0.9 (0.82;1),NA,NA,NA,0.94 (0.86;1.02),NA,0.42 (0.23;0.69),1.11 (0.6;1.87),1.09 (0.56;1.91)
1984,0.62 (0.18;1.71),0.5 (0.13;1.46),0.51 (0.22;1.04),0.36 (0.24;0.51),NA,NA,0.81 (0.67;0.96),0.96 (0.87;1.06),NA,0.9 (0.81;0.99),NA,NA,NA,0.92 (0.85;1),NA,0.43 (0.24;0.72),0.95 (0.51;1.61),1.1 (0.56;1.94)
1985,0.57 (0.14;1.68),0.52 (0.13;1.56),0.39 (0.14;0.94),0.36 (0.24;0.51),NA,NA,0.79 (0.66;0.94),0.96 (0.87;1.06),NA,0.89 (0.81;0.99),NA,NA,NA,0.9 (0.82;0.98),NA,0.42 (0.23;0.71),0.95 (0.5;1.64),1.08 (0.54;1.93)
1986,0.56 (0.12;1.76),0.49 (0.1;1.59),0.3 (0.1;0.88),0.35 (0.23;0.5),NA,NA,0.77 (0.64;0.91),0.95 (0.86;1.05),NA,0.89 (0.8;0.98),NA,NA,NA,0.87 (0.8;0.95),NA,0.4 (0.22;0.69),0.92 (0.48;1.6),1.06 (0.52;1.9)
1987,0.55 (0.11;1.83),NA,0.37 (0.14;0.93),0.33 (0.22;0.47),NA,NA,0.74 (0.61;0.88),0.95 (0.85;1.05),NA,0.88 (0.79;0.97),NA,NA,NA,0.84 (0.77;0.91),NA,0.38 (0.2;0.65),0.82 (0.43;1.42),0.96 (0.48;1.73)
1988,NA,NA,0.46 (0.19;1.03),0.31 (0.21;0.45),NA,NA,0.71 (0.58;0.85),0.94 (0.85;1.04),NA,0.87 (0.79;0.96),NA,NA,NA,0.81 (0.74;0.88),NA,0.35 (0.19;0.61),0.7 (0.36;1.22),0.97 (0.48;1.76)
1989,NA,NA,0.53 (0.22;1.13),0.3 (0.2;0.43),NA,NA,0.69 (0.56;0.82),0.93 (0.84;1.03),NA,0.87 (0.78;0.96),NA,NA,NA,0.77 (0.71;0.84),NA,0.34 (0.18;0.6),0.61 (0.31;1.05),0.98 (0.48;1.78)
1990,NA,NA,0.54 (0.22;1.16),0.3 (0.2;0.43),NA,NA,0.66 (0.53;0.79),0.93 (0.84;1.02),NA,0.86 (0.77;0.95),NA,NA,NA,0.74 (0.68;0.81),NA,0.31 (0.16;0.54),0.53 (0.27;0.93),1.18 (0.58;2.15)
1991,NA,NA,0.49 (0.19;1.13),0.3 (0.19;0.43),NA,NA,0.64 (0.51;0.76),0.92 (0.83;1.01),NA,0.85 (0.77;0.94),NA,NA,NA,0.71 (0.65;0.77),NA,0.26 (0.13;0.45),0.55 (0.28;0.97),1.19 (0.58;2.16)
1992,NA,NA,0.43 (0.15;1.09),0.3 (0.19;0.43),1 (1;1),1 (1;1),0.62 (0.51;0.74),0.91 (0.82;1.01),1 (1;1),0.84 (0.76;0.93),NA,NA,NA,0.68 (0.63;0.74),NA,0.23 (0.12;0.4),0.58 (0.29;1.03),1.23 (0.61;2.23)
1993,NA,0.45 (0.09;1.48),0.41 (0.15;1.03),0.31 (0.21;0.45),0.93 (0.7;1.16),0.97 (0.77;1.21),0.61 (0.5;0.72),0.9 (0.81;1),0.84 (0.52;1.28),0.83 (0.75;0.92),NA,NA,NA,0.66 (0.6;0.72),NA,0.2 (0.1;0.35),0.57 (0.29;1.01),1.23 (0.6;2.22)
1994,NA,0.41 (0.08;1.36),0.4 (0.14;0.98),0.31 (0.21;0.45),0.86 (0.58;1.13),0.95 (0.73;1.32),0.59 (0.48;0.7),0.89 (0.8;0.99),0.8 (0.46;1.3),0.83 (0.74;0.91),NA,NA,NA,0.64 (0.59;0.7),NA,0.18 (0.09;0.32),0.61 (0.3;1.08),1.14 (0.55;2.08)
1995,NA,0.41 (0.08;1.35),0.38 (0.13;0.93),0.31 (0.2;0.44),0.82 (0.54;1.11),0.93 (0.69;1.34),0.57 (0.47;0.68),0.88 (0.8;0.98),0.63 (0.34;1.05),0.82 (0.74;0.91),NA,NA,NA,0.64 (0.58;0.7),NA,0.18 (0.09;0.32),0.67 (0.34;1.17),1.13 (0.55;2.05)
1996,NA,0.42 (0.08;1.38),0.35 (0.11;0.89),0.32 (0.21;0.46),0.77 (0.49;1.05),0.88 (0.65;1.27),0.55 (0.45;0.66),0.86 (0.77;0.96),0.51 (0.27;0.88),0.82 (0.73;0.9),NA,NA,NA,0.64 (0.59;0.7),NA,0.15 (0.07;0.26),0.69 (0.35;1.21),0.92 (0.45;1.67)
1997,0.56 (0.11;1.86),0.41 (0.08;1.34),0.32 (0.09;0.88),0.34 (0.21;0.49),0.75 (0.49;1.03),0.84 (0.62;1.21),0.53 (0.44;0.63),0.84 (0.74;0.95),0.45 (0.23;0.79),0.81 (0.73;0.9),NA,NA,NA,0.64 (0.59;0.7),NA,0.13 (0.06;0.23),0.67 (0.34;1.17),0.79 (0.38;1.44)
1998,0.58 (0.11;1.92),0.39 (0.07;1.29),0.34 (0.09;0.89),0.35 (0.21;0.51),0.69 (0.45;0.94),0.8 (0.59;1.16),0.5 (0.41;0.6),0.82 (0.72;0.93),0.58 (0.32;0.99),0.82 (0.73;0.9),NA,NA,NA,0.65 (0.59;0.7),NA,0.11 (0.05;0.2),0.64 (0.32;1.12),0.76 (0.37;1.39)
1999,0.59 (0.11;1.98),0.37 (0.07;1.24),0.36 (0.1;0.96),0.4 (0.26;0.58),0.65 (0.42;0.89),0.76 (0.54;1.1),0.47 (0.39;0.57),0.82 (0.72;0.92),0.72 (0.4;1.22),0.82 (0.74;0.91),NA,NA,NA,0.65 (0.59;0.7),NA,0.1 (0.05;0.19),0.51 (0.26;0.9),0.66 (0.31;1.21)
2000,0.59 (0.11;2),0.36 (0.07;1.19),0.41 (0.12;1.05),0.42 (0.27;0.6),0.61 (0.4;0.84),0.68 (0.47;0.96),0.45 (0.37;0.54),0.8 (0.7;0.9),0.9 (0.49;1.52),0.83 (0.75;0.91),NA,NA,NA,0.65 (0.59;0.71),NA,0.1 (0.05;0.19),0.55 (0.27;0.99),0.62 (0.3;1.13)
2001,0.59 (0.11;2.02),0.34 (0.06;1.14),0.44 (0.13;1.12),0.46 (0.3;0.66),0.58 (0.37;0.8),0.61 (0.42;0.87),0.43 (0.35;0.51),0.78 (0.68;0.89),0.82 (0.44;1.41),0.84 (0.75;0.92),NA,NA,NA,0.65 (0.59;0.71),NA,0.11 (0.06;0.2),0.5 (0.25;0.89),0.61 (0.3;1.12)
2002,0.58 (0.11;1.98),0.34 (0.06;1.13),0.43 (0.12;1.14),0.5 (0.33;0.72),0.53 (0.33;0.74),0.55 (0.37;0.79),0.41 (0.33;0.49),0.77 (0.66;0.87),1.02 (0.56;1.72),0.85 (0.76;0.93),NA,NA,NA,0.65 (0.6;0.71),NA,0.12 (0.06;0.21),0.42 (0.21;0.75),0.74 (0.36;1.35)
2003,0.57 (0.1;1.92),0.33 (0.06;1.11),0.44 (0.12;1.18),0.55 (0.37;0.79),0.51 (0.32;0.72),0.5 (0.34;0.74),0.39 (0.31;0.47),0.76 (0.66;0.86),1.29 (0.7;2.19),0.86 (0.77;0.95),1 (1;1),1 (1;1),1 (1;1),0.66 (0.61;0.72),NA,0.13 (0.07;0.24),0.36 (0.18;0.66),0.76 (0.37;1.39)
2004,0.55 (0.1;1.87),0.34 (0.06;1.12),0.45 (0.12;1.24),0.61 (0.41;0.87),0.5 (0.31;0.7),0.47 (0.32;0.69),0.37 (0.3;0.45),0.75 (0.65;0.85),1.44 (0.78;2.46),0.87 (0.79;0.97),0.78 (0.5;1.19),0.74 (0.44;1.12),0.72 (0.42;1.23),0.68 (0.62;0.74),1 (1;1),0.13 (0.06;0.24),0.37 (0.17;0.69),0.78 (0.38;1.43)
2005,0.53 (0.1;1.81),0.35 (0.07;1.15),0.5 (0.14;1.34),0.65 (0.43;0.92),0.5 (0.32;0.7),0.46 (0.3;0.67),0.36 (0.28;0.43),0.75 (0.65;0.85),1.38 (0.74;2.35),0.89 (0.8;0.98),0.61 (0.34;1.02),0.7 (0.36;1.15),0.47 (0.21;0.92),0.69 (0.63;0.76),0.98 (0.78;1.22),0.13 (0.06;0.24),0.37 (0.16;0.7),0.66 (0.32;1.21)
2006,0.53 (0.1;1.81),0.35 (0.07;1.16),0.48 (0.12;1.33),0.67 (0.44;0.97),0.5 (0.32;0.7),0.43 (0.28;0.65),0.34 (0.27;0.43),0.74 (0.65;0.84),1.09 (0.59;1.86),0.9 (0.81;1),0.46 (0.23;0.8),0.59 (0.28;1.05),0.31 (0.11;0.71),0.7 (0.64;0.76),0.95 (0.7;1.25),0.13 (0.06;0.25),0.39 (0.16;0.75),0.56 (0.26;1.03)
2007,0.53 (0.1;1.81),0.34 (0.06;1.12),0.51 (0.14;1.41),0.69 (0.44;1),0.51 (0.33;0.7),0.4 (0.25;0.61),0.34 (0.26;0.42),0.73 (0.64;0.83),0.87 (0.46;1.5),0.91 (0.82;1.01),0.33 (0.15;0.59),0.63 (0.33;1.13),0.22 (0.07;0.56),0.7 (0.64;0.77),0.9 (0.62;1.2),0.14 (0.06;0.29),0.44 (0.19;0.84),0.44 (0.21;0.83)
2008,0.52 (0.09;1.77),0.34 (0.06;1.13),0.48 (0.12;1.36),0.7 (0.46;1.02),0.52 (0.34;0.73),0.42 (0.27;0.64),0.33 (0.25;0.41),0.73 (0.64;0.82),0.97 (0.52;1.65),0.92 (0.83;1.02),0.26 (0.12;0.48),0.72 (0.35;1.36),0.17 (0.05;0.47),0.71 (0.65;0.77),0.88 (0.6;1.21),0.15 (0.06;0.32),0.51 (0.22;0.97),0.4 (0.19;0.75)
2009,0.51 (0.09;1.76),0.33 (0.06;1.11),0.44 (0.1;1.33),0.66 (0.42;0.97),0.51 (0.33;0.71),0.41 (0.26;0.64),0.32 (0.24;0.4),0.72 (0.63;0.82),0.92 (0.5;1.57),0.92 (0.83;1.02),0.21 (0.09;0.4),0.75 (0.32;1.5),0.16 (0.05;0.42),0.71 (0.65;0.77),0.88 (0.59;1.25),0.2 (0.07;0.44),0.55 (0.25;1.07),0.4 (0.18;0.75)
2010,0.5 (0.09;1.72),0.33 (0.06;1.09),0.46 (0.11;1.37),0.6 (0.37;0.92),0.5 (0.33;0.7),0.38 (0.23;0.59),0.31 (0.24;0.4),0.72 (0.63;0.81),0.84 (0.45;1.45),0.91 (0.81;1.01),0.16 (0.07;0.29),0.49 (0.24;0.93),0.13 (0.04;0.36),0.71 (0.65;0.77),0.86 (0.57;1.26),0.22 (0.08;0.51),0.59 (0.26;1.16),0.4 (0.18;0.77)
2011,0.48 (0.09;1.63),0.32 (0.06;1.07),0.45 (0.1;1.36),0.63 (0.36;1.01),0.48 (0.32;0.67),0.37 (0.22;0.59),0.31 (0.23;0.39),0.71 (0.62;0.8),0.94 (0.51;1.61),0.89 (0.8;0.99),0.11 (0.04;0.22),0.35 (0.17;0.67),0.12 (0.04;0.32),0.7 (0.64;0.77),0.83 (0.54;1.22),0.23 (0.08;0.53),0.6 (0.26;1.16),0.41 (0.18;0.81)
2012,0.45 (0.08;1.52),0.33 (0.06;1.09),0.41 (0.08;1.31),0.63 (0.34;1.05),0.43 (0.28;0.62),0.33 (0.2;0.53),0.3 (0.22;0.38),0.69 (0.61;0.79),1.04 (0.56;1.77),0.88 (0.78;0.98),0.08 (0.03;0.17),0.29 (0.14;0.56),0.1 (0.03;0.28),0.7 (0.64;0.76),0.82 (0.53;1.25),0.24 (0.08;0.56),0.66 (0.29;1.29),0.41 (0.18;0.82)
2013,0.41 (0.07;1.4),0.33 (0.06;1.09),0.4 (0.07;1.33),NA,0.41 (0.25;0.59),0.31 (0.18;0.5),0.29 (0.21;0.38),0.68 (0.59;0.78),0.84 (0.46;1.42),0.86 (0.77;0.97),0.07 (0.03;0.14),0.26 (0.12;0.49),0.09 (0.03;0.26),0.7 (0.64;0.77),0.78 (0.48;1.19),0.25 (0.08;0.59),0.7 (0.3;1.37),0.43 (0.18;0.87)
2014,0.38 (0.07;1.3),0.35 (0.06;1.17),NA,NA,0.41 (0.25;0.6),0.29 (0.17;0.47),0.28 (0.21;0.37),0.67 (0.58;0.76),0.55 (0.3;0.95),0.86 (0.75;0.97),0.05 (0.02;0.11),0.2 (0.09;0.4),0.09 (0.03;0.25),0.71 (0.64;0.78),0.75 (0.45;1.19),0.27 (0.09;0.64),0.73 (0.31;1.45),0.49 (0.2;0.99)
2015,NA,NA,NA,NA,0.4 (0.24;0.6),0.27 (0.16;0.46),0.28 (0.2;0.37),0.66 (0.57;0.75),0.41 (0.2;0.76),0.85 (0.74;0.97),0.04 (0.02;0.09),0.18 (0.08;0.35),0.08 (0.02;0.23),0.71 (0.63;0.79),0.74 (0.42;1.22),0.29 (0.09;0.73),0.78 (0.33;1.56),0.65 (0.24;1.41)
2016,NA,NA,NA,NA,0.38 (0.23;0.57),0.25 (0.14;0.42),NA,0.65 (0.56;0.74),NA,NA,0.03 (0.01;0.08),0.16 (0.07;0.31),0.09 (0.02;0.24),0.71 (0.63;0.8),NA,0.31 (0.09;0.79),0.81 (0.33;1.64),0.96 (0.29;2.27)
2017,NA,NA,NA,NA,0.37 (0.21;0.59),NA,NA,0.63 (0.54;0.73),NA,NA,0.03 (0.01;0.07),0.14 (0.06;0.29),0.09 (0.02;0.25),NA,NA,0.33 (0.09;0.88),0.87 (0.35;1.85),1.29 (0.31;3.44)
2018,NA,NA,NA,NA,NA,NA,NA,0.62 (0.52;0.73),NA,NA,0.02 (0.01;0.06),0.14 (0.05;0.29),0.09 (0.02;0.27),NA,NA,NA,NA,NA
